CAZMH     	108 MILE RANCH
CAYXX     	ABBOTSFORD
CALAK     	AKLAVIK
CAAKV     	AKULIVIK
CAYAL     	ALERT BAY
CAYTF     	ALMA
CAYEY     	AMOS
CAYAA     	ANAHIM LAKE
CAYAX     	ANGLING LAKE
CAYEU     	AQUISMON
CAYAB     	ARCTIC BAY
CAYYW     	ARMSTRONG
CAYNR     	ARNES
CAYEK     	ARVIAT
CAYZA     	ASHCROFT
CAYIB     	ATIKOKAN
CAYAT     	ATTAWAPISKAT
CAYPJ     	AUPALUK
CAYBK     	BAKER LAKE
CAYBF     	BAMFIELD
CAYBA     	BANFF
CAZBF     	BATHURST
CAXBE     	BEARSKIN LAKE
CAYXQ     	BEAVER CREEK
CAQBC     	BELLA COOLA
CAYBV     	BERENS RIVER
CAYBI     	BLACK TICKLE
CAXBB     	BLUBBER BAY
CAYVB     	BONAVENTURE
CAYBY     	BONNYVILLE
CAYBN     	BORDEN
CAYBR     	BRANDON
CAYDR     	BROADVIEW
CAYBT     	BROCHET
CAXBR     	BROCKVILLE
CAZBM     	BROMONT
CAYZM     	BUCHANS
CAYVT     	BUFFALO NARROWS
CAYPZ     	BURNS LAKE
CAYBW     	CALGARY
CAYYC     	CALGARY
CAYCB     	CAMBRIDGE BAY
CAYBL     	CAMPBELL RIVER
CAYHH     	CAMPBELL RIVER
CAYTE     	CAPE DORSET
CAYRF     	CARTWRIGHT
CAYCG     	CASTLEGAR
CAYAC     	CAT LAKE
CAYWH     	CATEMACO
CAYYJ     	CATEMACO
CAYLD     	CHAPLEAU
CAYCL     	CHARLO
CAYYG     	CHARLOTTETOWN
CAYHG     	CHARLOTTETOWN LAB
CAXCM     	CHATHAM
CAYCS     	CHESTERFIELD INLET
CAYCQ     	CHETWYND
CAYHR     	CHEVERY
CAYMT     	CHIBOUGAMAU
CAYCW     	CHILLIWACK
CAYKU     	CHISASIBI
CAZUM     	CHURCHILL FALLS
CAYCY     	CLYDE RIVER
CAYCN     	COCHRANE
CAYOD     	COLD LAKE
CAYCK     	COLVILLE LAKE
CAYQQ     	COMOX
CAYZS     	CORAL HARBOUR
CAYCC     	CORNWALL
CAYCT     	CORONATION
CAYCA     	COURTENAY
CAYYM     	COWLEY
CAYXC     	CRANBROOK
CACFQ     	CRESTON
CAYCR     	CROSS LAKE
CAYDH     	DANIELS HARBOUR
CAYDN     	DAUPHIN
CAYDQ     	DAWSON CREEK
CAYDL     	DEASE LAKE
CAYDF     	DEER LAKE
CAYVZ     	DEER LAKE
CAYWJ     	DELINE
CAYDG     	DIGBY
CAYDC     	DRAYTON VALLEY
CAYHD     	DRYDEN
CAYXR     	EARLTON
CAYED     	EDMONTON
CAYEG     	EDMONTON
CAYXD     	EDMONTON
CAYET     	EDSON
CAYEL     	ELLIOT LAKE
CAYEN     	ESTEVAN
CAYCZ     	FAIRMONT HOT SPRING
CAZFW     	FAIRVIEW
CAYOE     	FALHER
CAZFA     	FARO
CAZRR     	FIUMICINO
CAYFO     	FLIN FLON
CAZFD     	FOND DU LAC
CAYFE     	FORESTVILLE
CAYFA     	FORT ALBANY
CAYPY     	FORT CHIPEWYAN
CAYAG     	FORT FRANCES
CAYGH     	FORT GOOD HOPE
CAYJF     	FORT LIARD
CAYMM     	FORT MCMURRAY
CAZFM     	FORT MCPHERSON
CAYYE     	FORT NELSON
CAYFR     	FORT RESOLUTION
CAYER     	FORT SEVERN
CAYFS     	FORT SIMPSON
CAYSM     	FORT SMITH
CAYXJ     	FORT ST JOHN
CAYFC     	FREDERICTON
CAYCX     	GAGETOWN
CAYQX     	GANDER
CAYGQ     	GERALDTON
CAYGS     	GERMANSEN LANDING
CAZGS     	GETHSEMANI
CAYGX     	GILLAM
CAYGB     	GILLIES BAY
CAYGM     	GIMLI
CAYHK     	GJOA HAVEN
CAZGI     	GODS RIVER
CAYZE     	GORE BAY
CAZGF     	GRAND FORKS
CAYGC     	GRANDE CACHE
CAYQU     	GRANDE PRAIRIE
CAXGL     	GRANVILLE LAKE
CAYZX     	GREENWOOD
CAYGZ     	GRISE FIORD
CAYHT     	HAINES JUNCTION
CAYAW     	HALIFAX
CAYHZ     	HALIFAX
CAYWF     	HALIFAX
CAYUX     	HALL BEACH
CAYHM     	HAMILTON
CAHNX     	HANNA
CAYTB     	HARTLEY BAY
CAYDJ     	HATCHET LAKE
CAYHY     	HAY RIVER
CAYHF     	HEARST
CAYOJ     	HIGH LEVEL
CAZHP     	HIGH PRAIRIE
CAYHE     	HOPE
CAYHO     	HOPEDALE
CAYHN     	HORNEPAYNE
CAYHB     	HUDSON BAY
CAYGT     	IGLOOLIK
CAZUC     	IGNACE
CAILF     	ILFORD
CAYPH     	INUKJUAK
CAYEV     	INUVIK
CAYFB     	IQALUIT
CAYIK     	IVUJIVIK
CAYTH     	JUAREZ
CAYKA     	KAMLOOPS
CAXGR     	KANGIQSUALUJJUAQ
CAYWB     	KANGIQSUJUAQ
CAYKG     	KANGIRSUK
CAYYU     	KAPUSKASING
CAXKS     	KASABONIKA
CAKEW     	KEEWAYWIN
CAZKG     	KEGASKA
CAYLW     	KELOWNA
CAKES     	KELSEY
CAYQK     	KENORA
CAYXI     	KILLALOE
CAYQE     	KIMBERLEY
CAYKD     	KINCARDINE
CAYKY     	KINDERSLEY
CAKIF     	KINGFISHER LAKE
CAYGK     	KINGSTON
CAKNY     	KINOOSAO
CAYKX     	KIRKLAND LAKE
CAYKK     	KITKATLA
CAYKT     	KLEMTU
CAYBB     	KUGAARUK
CAYVP     	KUUJJUAQ
CAYGW     	KUUJJUARAPIK
CAYVC     	LA RONGE
CASSQ     	LA SARRE
CAZLT     	LA TABATIERE
CAYLQ     	LA TUQUE
CAXLB     	LAC BROCHET
CAYLY     	LANGLEY
CAYLH     	LANSDOWNE HOUSE
CAYLR     	LEAF RAPIDS
CAYLS     	LEBEL-SUR-QUEVILLON
CAYQL     	LETHBRIDGE
CAZGR     	LITTLE GRAND RAPIDS
CAYLL     	LLOYDMINSTER
CAYXU     	LONDON
CAYLX     	LONG POINT
CAYYL     	LYNN LAKE
CAYMN     	MAKKOVIK
CAYMG     	MANITOUWADGE
CAYEM     	MANITOWANING
CAYMW     	MANIWAKI
CAYSP     	MARATHON
CAZMT     	MASSET
CAYNM     	MATAGAMI
CAYME     	MATANE
CAYMA     	MAYO
CAYLJ     	MEADOW LAKE
CAYXH     	MEDICINE HAT
CAYMB     	MERRITT
CAYMI     	MINAKI
CAYCH     	MIRAMICHI BAY
CAYQM     	MONCTON
CAXLM     	MONTREAL
CAYHU     	MONTREAL
CAYMX     	MONTREAL
CAYUL     	MONTREAL
CAYMJ     	MOOSE JAW
CAYMO     	MOOSONEE
CAYML     	MURRAY BAY
CAMSA     	MUSKRAT DAM
CAYDP     	NAIN
CAYQN     	NAKINA
CAZNU     	NAMU
CAYCD     	NANAIMO
CAZNA     	NANAIMO
CAYSR     	NANISIVIK
CAYNA     	NATASHQUAN
CAYNP     	NATUASHISH
CAZNG     	NEGGINAN
CAYNS     	NEMISCAU
CAYBD     	NEW WESTMINSTER
CAYVQ     	NORMAN WELLS
CAYQW     	NORTH BATTLEFORD
CAYYB     	NORTH BAY
CAYNE     	NORWAY HOUSE
CAZOF     	OCEAN FALLS
CAYOG     	OGOKI
CAYOC     	OLD CROW
CAZFB     	OLD FORT BAY
CAYOO     	OSHAWA
CAYND     	OTTAWA
CAYOW     	OTTAWA
CAZIF     	OTTAWA
CAYOS     	OWEN SOUND
CAYOH     	OXFORD HOUSE
CAYXP     	PANGNIRTUNG
CAYDE     	PARADISE RIVER
CAYPD     	PARRY SOUND
CAYPC     	PAULATUK
CAYPE     	PEACE RIVER
CAYPO     	PEAWANUCK
CAYTA     	PEMBROKE
CAYYF     	PENTICTON
CAYWA     	PETAWAWA
CAYPQ     	PETERBOROUGH
CAYPL     	PICKLE LAKE
CAYPM     	PIKANGIKUM
CAPIW     	PIKWITONEI
CAWPC     	PINCHER CREEK
CAYIO     	POND INLET
CAYHP     	POPLAR HILL
CAYPB     	PORT ALBERNI
CAYZT     	PORT HARDY
CAYPS     	PORT HAWKESBURY
CAYHA     	PORT HOPE SIMPSON
CAYMP     	PORT MCNEILL
CAYPG     	PORTAGE LA PRAIRIE
CAYSO     	POSTVILLE
CAYPW     	POWELL RIVER
CAYPA     	PRINCE ALBERT
CAXDV     	PRINCE GEORGE
CAYXS     	PRINCE GEORGE
CAXDW     	PRINCE RUPERT
CAYPR     	PRINCE RUPERT
CAZSW     	PRINCE RUPERT
CAXPK     	PUKATAWAGAN
CAYVM     	QIKIQTARJUAQ
CAYQC     	QUAQTAQ
CAXFY     	QUEBEC
CAXFZ     	QUEBEC
CAXLJ     	QUEBEC
CAZQS     	QUEEN CHARLOTTE
CAYQZ     	QUESNEL
CAYOP     	RAINBOW LAKE
CAYRT     	RANKIN INLET
CAYQF     	RED DEER
CAYRL     	RED LAKE
CAYRS     	RED SUCKER LAKE
CAYUT     	REPULSE BAY
CAYRB     	RESOLUTE
CAYRV     	REVELSTOKE
CAYVR     	RICHMOND
CAYRG     	RIGOLET
CAYXK     	RIMOUSKI
CAYYI     	RIVERS
CAYRJ     	ROBERVAL
CAYRM     	ROCKY MOUNTAIN HOUS
CAXRR     	ROSS RIVER
CAZPB     	SACHIGO LAKE
CAYSY     	SACHS HARBOUR
CAYSJ     	SAINT JOHN
CAYZG     	SALLUIT
CAYSN     	SALMON ARM
CAYZP     	SANDSPIT
CAZSJ     	SANDY LAKE
CAYSK     	SANIKILUAQ
CAYZR     	SARNIA
CAYXE     	SASKATOON
CAYAM     	SAULT STE MARIE
CAYKL     	SCHEFFERVILLE
CAYHS     	SECHELT
CAYZV     	SEPT-ILES
CAZTM     	SHAMATTAWA
CAYSX     	SHEARWATER
CAYSC     	SHERBROOKE
CAYLO     	SHILO
CAYXL     	SIOUX LOOKOUT
CAYZH     	SLAVE LAKE
CAYYD     	SMITHERS
CAXSI     	SOUTH INDIAN LAKE
CAYSE     	SQUAMISH
CAYSZ     	SQUIRREL COVE
CAYAY     	ST ANTHONY
CAYCM     	ST CATHARINES
CAZSP     	ST PAUL
CAYQS     	ST THOMAS
CAYYT     	ST. JOHNS
CAYJT     	STEPHENVILLE
CAZST     	STEWART
CAYSF     	STONY RAPIDS
CAYRR     	STUART ISLAND
CAXDY     	SUDBURY
CAYSB     	SUDBURY
CAYTG     	SULLIVAN BAY
CASUR     	SUMMER BEAVER
CAYSU     	SUMMERSIDE
CAIUM     	SUMMIT LAKE
CAZJN     	SWAN RIVER
CAYYN     	SWIFT CURRENT
CAYQY     	SYDNEY
CAXTL     	TADOULE LAKE
CAYYH     	TALOYOAK
CAYTX     	TELEGRAPH CREEK
CAYXT     	TERRACE
CAYTJ     	TERRACE BAY
CAYZW     	TESLIN
CAYQD     	THE PAS
CAYTD     	THICKET PORTAGE
CAYQT     	THUNDER BAY
CAYTS     	TIMMINS
CAYTT     	TISDALE
CAYAZ     	TOFINO
CAYTP     	TOFINO
CAYKZ     	TORONTO
CAYTO     	TORONTO
CAYTZ     	TORONTO
CAYYZ     	TORONTO
CAYZD     	TORONTO
CAYTR     	TRENTON
CAYRQ     	TROIS-RIVIERES
CAYUB     	TUKTOYAKTUK
CATUX     	TUMBLER RIDGE
CAYUD     	UMIUJAQ
CAYBE     	URANIUM CITY
CAYOY     	VALCARTIER BPM 210
CACXH     	VANCOUVER
CAXEA     	VANCOUVER
CAYDT     	VANCOUVER
CAYVG     	VERMILION
CAYWK     	WABUSH
CAYKQ     	WASKAGANISH
CAYQH     	WATSON LAKE
CAYXZ     	WAWA
CAYWP     	WEBEQUIE
CAYNC     	WEMINDJI
CAYXN     	WHALE COVE
CAYWS     	WHISTLER
CAYWR     	WHITE RIVER
CAYZU     	WHITECOURT
CAYXY     	WHITEHORSE
CAYVV     	WIARTON
CAYWM     	WILLIAMS HARBOUR
CAYWL     	WILLIAMS LAKE
CAYQG     	WINDSOR
CAYWG     	WINNIPEG
CAZWL     	WOLLASTON LAKE
CAYWY     	WRIGLEY
CAWNN     	WUNNUMMIN LAKE
CAYQI     	YARMOUTH
CAYZF     	YELLOWKNIFE
CAZAC     	YORK LANDING
CAYQV     	YORKTON
