CHACH     	ALTENRHEIN
ANDCH     	ANDELFINGEN
ARBCH     	ARCON
CHACO     	ASCONA
CHZBA     	BASEL/MULHOUSE
BELCH     	BELLACH
BERCH     	BERNE
CHBRN     	BERNE
BIECH     	BIEL
BLECH     	BLEIENBACH
BRUCH     	BRUGG
BUCCH     	BUCHS
BUECH     	BUELACH
CMGCH     	CHAMPAGNE
CHUCH     	CHUR
CONCH     	CORNAUX
DANCH     	DANIKEN
DIECH     	DIESSENHOFEN
DULCH     	DULLIKEN
EGNCH     	EGNACH
ESCCH     	ESCHOLZMATT
ETZCH     	ETZIKEN
FEUCH     	FEUERTHALEN
FLACH     	FLAWIL
CHGVA     	GENEVA
GVACH     	GENEVA
GRECH     	GRENCHEN
HARCH     	HARKINGEN
HEECH     	HEERBRUGG
HEICH     	HEIDEN
IPSCH     	IPSACH
JONCH     	JONA
KONCH     	KONOLFINGEN
KRECH     	KREUZLINGEN
LACCH     	LA CHAUX-DE-FONDS
LAUCH     	LAUPEN
LELCH     	LE LOCLE
LENCH     	LENGWIL-OBRHOFEN
LESCH     	LES BRENETS
LSNCH     	LOSONE
LOSCH     	LOSTORF
CHLUG     	LUGANO/AGNO
CHEML     	LUZERN
LUZCH     	LUZERN
LYSCH     	LYSS 
MARCH     	MARTIGNY
MOUCH     	MOUDON
CHBSL     	MULHOUSE/BASEL
MRICH     	MURI
MURCH     	MURTEN FREIBURG
NAFCH     	NAFELS
OBECH     	OBERENTDELDEN
ORBCH     	ORBE
PFACH     	PFAFFIKON
PFFCH     	PFAFFNAU
PTNCH     	PRATTEIN
REICH     	REINACH
ROLCH     	ROLLE
RHNCH     	ROMANSHORN
STGCH     	SAINT GALLEN
SFHCH     	SCHAFFHAUSEN
SCHCH     	SCHWERZENBACH
CHSIR     	SION
SONCH     	SONCEBOZ
CHSMV     	ST MORITZ
STACH     	STABIO
STNCH     	STEINEN
UNTCH     	UNTERAGERI
VILCH     	VILLAZ-SAINT-PIERRE
WLSCH     	WALLISELLEN
WALCH     	WALZENHAUSEN
WATCH     	WATTWIL
WDSCH     	WINDISCH
WINCH     	WINTERTHUR
WOHCH     	WOHLEN
WUECH     	WUERENLOS
CHYCU     	YUN CHENG
ZURCH     	ZURICH
ZRGCH     	ZURIGO
