CLLSQ     	ACALA
CLWPR     	ACUNA
CLWAP     	ALTO PALENA
CLSCL     	AMATEPEC
CLULC     	AMATEPEC
CLZUD     	ANCUD
CLESR     	ANTIGUO MORELOS
CLANF     	ANTOFAGASTA
CLARI     	ARICA
CLBBA     	BALMACEDA
CLCCP     	CALAKMUL
CLCJC     	CALAMA
CLKNA     	CARMEN
CLZIC     	CATEMACO
CLSMB     	CERRO SOMBRERO
CLWCH     	CHAITEN
CLCNR     	CHANARAL
CLCCH     	CHILE CHICO
CLYAI     	CHILLAN
CLLGR     	COCHRANE
CLCPO     	COPIAPO
CLCOW     	COQUIMBO
CLGXQ     	COYHAIQUE
CLIPC     	EASTER ISLAND
CLWCA     	ENCARNACION DE DI
CLFRT     	FRUTILLAR
CLFFU     	FUTALEUFU
HUACL     	HUALPEN
CLIQQ     	IQUIQUE
CLLSC     	LA SERENA
CLVAP     	LERDO
CLZOS     	OSORNO
CLOVL     	OVALLE
CLZAL     	POZA RICA DE HIDA
CLZPC     	PUCON
CLWPA     	PUERTO AISEN
CLPMC     	PUERTO MONTT
CLPNT     	PUERTO NATALES
CLPUX     	PUERTO VARAS
CLWPU     	PUERTO WILLIAMS
CLPUQ     	PUNTA ARENAS
QUICL     	QUILICURA
SAACL     	SAN ANTONIO
SANCL     	SANTIAGO
CLTLX     	TALCA
CLTTC     	TALTAL
CLZCO     	TEMUCO
CLTOQ     	TOCOPILLA
CLVLR     	VALLENAR
VITCL     	VITACURA
