ESFES     	ACALA
ESEAS     	AGUASCALIENTES
ESUTL     	AGUASCALIENTES
ESLPA     	AHOME
ESABC     	ALBACETE
ESOZP     	ALDAMA
ALGES     	ALGECIRAS
ESALC     	ALICANTE
ALIES     	ALIO
ESLEI     	ALMERIA
ALMES     	ALMUSSAFES
AMOES     	AMOREBIETA-ETXANO
ANDES     	ANDOAIN
ESZAZ     	APATZINGAN
ARMES     	ARMINON
ARSES     	ARRASATE 
ESACE     	ARRECIFE
ARTES     	ARTES
AVIES     	AVILES
ESBJZ     	BADAJOZ
BARES     	BARCELONA
ESBCN     	BARCELONA
BRGES     	BERGARA
BERES     	BERRIZ
BIGES     	BIGUES I RIELLS
ESBIO     	BILBAO
BILES     	BILBOA
BISES     	BISCAY
BORES     	BORJA
CDMES     	CABRERA DE MAR
CADES     	CADIZ
ESCDZ     	CADIZ
CTDES     	CALATAYUD
CALES     	CALDES DE MONTBUI
CASES     	CASTELLDEFELS
CATES     	CATALONIA
ESGRX     	CELAYA
ESJCU     	CEUTA
ESODB     	CORDOBA
DAGES     	DAGANZO DE ARRIBA
DEBES     	DEBA
DURES     	DURANGO
ESAGP     	DURANGO
EPSES     	EL PUERTO DE SANTA MARIA
ELCES     	ELCHE
ELGES     	ELGOIBAR
ESPES     	ESPARREGUERA
FIGES     	FIGUERUELAS
ESLCG     	FRANCISCO I. MADE
ESFGR     	FUENGIROLA
FUEES     	FUENLABRADA
GAVES     	GAVA
ESGRO     	GERONA
GETES     	GETAFE
GIPES     	GIPUZKO
GIRES     	GIRONA
ESMAD     	GOMEZ PALACIO
ESTOJ     	GOMEZ PALACIO
GONES     	GONDOMAR
ESHEV     	HUELVA
IBIES     	IBI
ESIBZ     	IBIZA
ITZES     	ITZIAR
ESXRY     	JEREZ DE LA FRONTER
ESVLL     	JESUS MARIA
ESSPO     	JUAREZ
ESSVQ     	JUAREZ
LACES     	LA CISTERNIGA
ESNDO     	LA PALMA DEL CONDAD
LARES     	LA RINCONADA
LASES     	LAS PALMAS
LESES     	LES CABANYES
LFVES     	LES FRANQUESES DEL VALLES
LHOES     	LHOSPITALET DE LLOBREGAT
LLEES     	LLERENA
ESRJL     	LOGRONO
MADES     	MADRID
ESVLC     	MANISES
MAQES     	MAQUEDA
MRVES     	MARAVAL
MARES     	MARTORELLES
MATES     	MARTOS
MASES     	MASSANES
ESMLN     	MELILLA
ESMAH     	MENORCA
MOLES     	MOLINS DE REI
ESOZU     	MONTILLA
ESMJV     	MURCIA
NAVES     	NAVARRA
ESVDE     	OJINAGA
ESOVD     	OVIEDO/AVILES
ESPMI     	PALMA MALLORCA
PAMES     	PAMPLONA
ESSDR     	PANUCO
PDVES     	PARETS DEL VALLES
PATES     	PATERNA
POTES     	PONTE CALDELAS
PONES     	PONTEVEDRA
PORES     	PORRINO
ESPXS     	PUERTO DE SANTA MAR
ESFUE     	PUERTO DEL ROSARIO
PUEES     	PUERTO REAL
ESOZI     	PUERTO VALLARTA
ESUER     	PUERTOLLANO
QUAES     	QUART DE POBLET
REDES     	REDONDELA
ESREU     	REUS
REUES     	REUS
RIBES     	RIBA-ROJA DE TURIA
RIPES     	RIPOLLET
RIVES     	RIVAS-VACIAMADRID
ESRRA     	RONDA
RUBES     	RUBI
SABES     	SABADELL
ESCJI     	SAN CRISTOBAL DE
ESZRC     	SAN PEDRO DE ALCANT
ESGMZ     	SAN SEBAS DE LA GOM
SAAES     	SANT ADRIA DE BESOS
SCVES     	SANT CUGAT DEL VALLES
SJDES     	SANT JUST DESVERN
ESSPC     	SANTA CRUZ DE LA PA
SCTES     	SANTA CRUZ de TENERIFE
SOLES     	SANTA OLIVA
SANES     	SANTA OLIVIA
ESSCQ     	SANTIAGO DE COMPOST
SENES     	SENTMENAT
ESLEU     	SEU DE URGEL
SEVES     	SEVILLE
SILES     	SILLA
TAZES     	TARAZONA
TARES     	TARRAGONA
ESTFN     	TENERIFE
ESTFS     	TENERIFE
TERES     	TERRASSA
ESPNA     	TLAHUALILO
TORES     	TORTOSA
TREES     	TRES CANTOS
TUDES     	TUDELA
VALES     	VALENCIA
VADES     	VALLDOREIX
VTTES     	VALLE DE TRAPAGA-TRAPAGARAN
ESVGO     	VIGO
VIGES     	VIGO
VILES     	VILADECAVALLS
VLGES     	VILANOVA I LA GELRU 
ESLEN     	VILLA HIDALGO
VITES     	VITORIA
ESVIT     	VITORIA.
ZAMES     	ZAMUDIO
ZARES     	ZARAGOZA
