FRAGF     	AGEN
AIZFR     	AIZENAY
FRAJA     	AJACCIO
ALBFR     	ALBERT
FRLBI     	ALBI
FRAHZ     	ALPE D HUEZ
AMIFR     	AMIENS
ANDFR     	ANDREZIEUX
ANGFR     	ANGERS
FRANE     	ANGERS
ANOFR     	ANGOULEME
FRANG     	ANGOULEME
FRNCY     	ANNECY
ANEFR     	ANNECY-LE-VIEUX
ANNFR     	ANNEMASSE
ANTFR     	ANTEUIL
ARDFR     	ARDON
ARGFR     	ARGONAY
AROFR     	ARON
ARRFR     	ARRECIFE
ARZFR     	ARZAL
FRJAH     	AUBAGNE
FROBS     	AUBENAS
AUDFR     	AUDINCOURT
AURFR     	AURAY
FRAUR     	AURILLAC
AUXFR     	AUXERRE
FRAVN     	AVIGNON
FRXZN     	AVIGNON
FRAVF     	AVORIAZ
AVRFR     	AVRESSIEUX
AYTFR     	AYTRE
BAIFR     	BAIS
FRBAE     	BARCELONNETTE
FRMLH     	BASEL MULHOUSE FREI
BHMFR     	BASSE-HAM
FRBIA     	BASTIA
BAUFR     	BAUGE
BAVFR     	BAVANS
BEAFR     	BEAULIEU
BLRFR     	BEAUMONT LE ROGER
BNEFR     	BEAUNE 
FRBOR     	BELFORT
BELFR     	BELLEME
BLLFR     	BELLIGNAT
FREGC     	BERGERAC
BESFR     	BESANCON
FRBZR     	BEZIERS
FRBIQ     	BIARRITZ
BIEFR     	BIERNE
BILFR     	BILLY-BERCLAU
BLAFR     	BLANQUEFORT
BLOFR     	BLOIS
BOHFR     	BOHAIN EN VERMANDOIS
BOIFR     	BOIS-COLOMBES
BONFR     	BONDOUFLE
BORFR     	BORDEAUX
FRZFQ     	BORDEAUX
BODFR     	BORDERES
BOUFR     	BOUCONVILLERS
BOLFR     	BOULOGNE BILLANCOURT
FRBOU     	BOURGES
BRGFR     	BOURGOIN-JALLIEU
BREFR     	BRENOUILLE
FRBES     	BREST
BLSFR     	BREUIL LE SEC
BRIFR     	BRIERES LES SCELLES
FRBVE     	BRIVE-LA-GAILLARDE
BUSFR     	BUSNES
CAEFR     	CAEN
FRZAO     	CAHORS
FRCQF     	CALAIS
CALFR     	CALIGNY
CLOFR     	CALONNE RICOUART
FRCLY     	CALVI
CAMFR     	CAMBRONNE-LES-CLERMONT
FRCEQ     	CANNES
FRJCA     	CANNES
FRQYW     	CANNES
FRCCF     	CARCASSONNE
CAIFR     	CARIGNAN
CARFR     	CARQUEFOU
FRDCM     	CASTRES
CEDFR     	CEDEX
CFOFR     	CERANS-FOULLETOURTE
CERFR     	CERCY-LA-TOUR
CESFR     	CESTAS
CEYFR     	CEYZERIAT
CHLFR     	CHALEZEULE
FRXCR     	CHALONS SUR MARNE
FRCMF     	CHAMBERY
CMBFR     	CHAMBLY
CBTFR     	CHAMBORET
CHMFR     	CHAMBOST ALLIERES
CLTFR     	CHAMBRAY-LES-TOURS
CHGFR     	CHAMPAGNOLE
CHPFR     	CHAMPNIERS
CTPFR     	CHANTEPIE
CRLFR     	CHARLIEU
CDPFR     	CHASSENEUIL-DU-POITOU
CHAFR     	CHATEAU GONTIER
CHTFR     	CHATEAUDUN
FRCHR     	CHATEAUROUX
CHVFR     	CHAVANOD
FRCER     	CHERBOURG
CHEFR     	CHESNAY
FRCET     	CHOLET
CLAFR     	CLAIRVAUX-LES-LACS
CLEFR     	CLERMONT CEDEX
FRCFE     	CLERMONT-FERRAND
CLIFR     	CLICHY
FRCNG     	COGNAC
COIFR     	COIGNIERES
FRCMR     	COLMAR
COMFR     	COMMERCY
CMPFR     	COMPIEGNE
CONFR     	CONLIE
FRCVF     	COURCHEVEL
COUFR     	COURNON
FRCSF     	CREIL
CREFR     	CRETEIL
CUIFR     	CUISERY
CUSFR     	CUSSET
DACFR     	DACHSTEIN
FRDOL     	DEAUVILLE
DELFR     	DELLE CEDEX
FRDXA     	DEUX ALPES
FRDPE     	DIEPPE
FRDIJ     	DIJON
FRDNR     	DINARD
FRDLP     	DISNEYLAND PARIS
DISFR     	DISSAY
DOLFR     	DOLE
FRDLE     	DOLE
DORFR     	DORTAN
DRAFR     	DRANCY
ERLFR     	ECHIROLLES
ENNFR     	ENNERY
ENTFR     	ENTZHEIM
EPRFR     	EPERNON
EPEFR     	EPIEDS-EN-BEAUCE
EPNFR     	EPINAL 
FREPL     	EPINAL
EPIFR     	EPINOUZE
ETAFR     	ETAMPES
FREVX     	EVREUX
FRJEV     	EVRY
FAUFR     	FAUCONNIERES
FAVFR     	FAVERGES
FEIFR     	FEIGNIES
FEYFR     	FEYZIN
FRFSC     	FIGARI
FLEFR     	FLERS
FEEFR     	FLERS-EN-ESCREBIEUX
FLAFR     	FLEURY-LES-AUBRAIS
FOCFR     	FOCINE-LE-HAUT
FNTFR     	FONTAINE LE BOURG
FNBFR     	FONTAINEBLEAU
FRFRJ     	FREJUS
FREFR     	FRETIN
LILFR     	FRETIN
GAIFR     	GAILLON
FRGAT     	GAP
GARFR     	GARGES LES GONESSE
GEMFR     	GEMENOS
GENFR     	GENAY
GETFR     	GETIGNE
GLUFR     	GLUIRAS
FRGFR     	GRANVILLE
GREFR     	GRENOBLE
GRIFR     	GRIESHERIM
GROFR     	GROISSIAT
GUYFR     	GUYANCOURT
GYOFR     	GYORGY
HAIFR     	HAISNES
FRHZB     	HAZEBROUCK
HERFR     	HEROUVILLE
HESFR     	HESINGUE 
HEYFR     	HEYRON
HIRFR     	HIRSON
FRTLN     	HYERES
IBOFR     	IBOS
INGFR     	INGWILLER
ISLFR     	ISLE
ISNFR     	ISNEAUVILLE
ISSFR     	ISS LES MOULINEAUX
ISOFR     	ISSOIRE
IZEFR     	IZERNORE
JOUFR     	JOUY EN JOSAS
FRJLP     	JUAN LES PINS
JUVFR     	JUVIGNY
FRLBY     	LA BAULE-ESCOUBLAC
BRUFR     	LA BRUFFIERE
LCMFR     	LA CAPELLE-ET-MASMOLENE
LACFR     	LA CHATRE
LFBFR     	LA FERRIERE-BOCHARD
LAFFR     	LA FERTE SAINT AUBIN
FRPLG     	LA PLAGNE
