IDAEG     	AEK GODANG
IDARD     	ALOR ISLAND
IDAHI     	AMAHAI
IDAMQ     	AMBON
IDAGD     	ANGGI
IDAAS     	APALAPSILI
IDARJ     	ARSO
IDAKQ     	ASTRAKSETRA
IDABU     	ATAMBUA
IDAUT     	ATAURO
IDAYW     	AYAWASI
IDBXB     	BABO
IDBXD     	BADE
IDBJW     	BAJAWA
IDBPN     	BALIKPAPAN
IDNAF     	BANAINA
IDBTJ     	BANDA ACEH
IDNDA     	BANDANAIRA
IDTKG     	BANDAR LAMPUNG
IDBDO     	BANDUNG
IDBDJ     	BANJARMASIN
BATID     	BATAM
IDBTH     	BATAM
IDBXM     	BATOM
IDBTW     	BATU LICIN
IDBUW     	BAUBAU
BEKID     	BEKASI
IDBKS     	BENGKULU
IDBJK     	BENJINA
IDBIK     	BIAK
IDBMU     	BIMA
IDNTI     	BINTUNI
IDBUI     	BOKONDINI
IDBJG     	BOLAANG
IDBXT     	BONTANG
IDBYQ     	BUNYU
IDUOL     	BUOL
IDCPF     	CEPU
CIBID     	CIBATU
CIKID     	CIKARANG
IDCXP     	CILACAP
IDCBN     	CIREBON
IDDRH     	DABRA
IDDTD     	DATADAWAI
IDDPS     	DENPASAR, BALI
IDDUM     	DUMAI
IDELR     	ELELIM
IDEWI     	ENAROTALI
IDENE     	ENDE
IDEWE     	EWER
IDFKQ     	FAK FAK
IDGAV     	GAG ISLAND
IDGLX     	GALELA
IDGEB     	GEBE
IDGTO     	GORONTALO
IDGNS     	GUNUNGSITOLI
IDILA     	ILLAGA
IDIUL     	ILU
IDINX     	INANWATAN
SAMI     	INDONESIA
IDCGK     	JAKARTA
IDHLP     	JAKARTA
IDJKT     	JAKARTA
IDPCB     	JAKARTA
JAKID     	JAKARTA
IDDJB     	JAMBI
IDDJJ     	JAYAPURA
IDKNG     	KAIMANA
IDKBX     	KAMBUAYA
IDKCD     	KAMUR
IDKWB     	KARIMUNJAWA
IDKBF     	KARUBAGA
IDKAZ     	KAU
IDKEQ     	KEBAR
IDKEA     	KEISAH
IDLLN     	KELILA
IDKLQ     	KELUANG
