ACHIN     	ACHAMPET
INIXA     	AGARTALA
INAGX     	AGATTI ISLAND
INAGR     	AGRA
AHEIN     	AHMEDABAD
INAMD     	AHMEDABAD
AHMIN     	AHMEDNAGAR
INAJL     	AIZAWL
INAKD     	AKOLA
INIXD     	ALLAHABAD
INIXV     	ALONG
AMBIN     	AMBATTUR
INATQ     	AMRITSAR
ANJIN     	ANJUR
ARPIN     	ARUNACHAL PRADESH
AURIN     	AURANGABAD
INIXU     	AURANGABAD
INIXB     	BAGDOGRA
INRGH     	BALURGHAT
BANIN     	BANGALORE
INBLR     	BANGALORE
INBEK     	BARELI
BARIN     	BARODA
BAWIN     	BAWAL
BEGIN     	BEGUR HOBLI
INIXG     	BELGAUM
INBEP     	BELLARY
BENIN     	BENGALURU
BHAIN     	BHARUCH
INBUP     	BHATINDA
INBHU     	BHAVNAGAR
INBHO     	BHOPAL
INBBI     	BHUBANESWAR
INBHJ     	BHUJ
INKUU     	BHUNTAR KULLU.
INBKB     	BIKANER
INPAB     	BILASPUR
BOMIN     	BOMBAY
CALIN     	CALCUTTA
INCBD     	CAR NICOBAR
CARIN     	CARDA
CHAIN     	CHANDIGARH
INIXC     	CHANDIGARH
CHEIN     	CHENNAI
INMAA     	CHENNAI/MADRAS
CHIIN     	CHINCHWAD
COCIN     	COCHIN
COIIN     	COIMBATORE
INCJB     	COIMBATORE
INCOH     	COOCH BEHAR
INCDP     	CUDDAPAH
INNMB     	DAMAN
INDAE     	DAPARIZO
INDAI     	DARJEELING
INDED     	DEHRA DUN
DELIN     	DELHI
INDEP     	DEPARIZO
DEVIN     	DEVANAHALLI
INDBD     	DHANBAD
INDHM     	DHARAMSALA
INDIB     	DIBRUGARH
INDMU     	DIMAPUR
INDIU     	DIU
DODIN     	DODDABALLAPURA
FARIN     	FARIDABAD
INGAU     	GAWAHATI
INGAY     	GAYA
INGOI     	GOA
INGOP     	GORAKHPUR
GTNIN     	GREATER NOIDA
GJAIN     	GUJARAT
GUJIN     	GUJARET
INGUX     	GUNA
GURIN     	GURGAON
INGWL     	GWALIOR
HDRIN     	HARIDWAR
HARIN     	HARYANA
HMPIN     	HIMACHEL PRADESH
INHSS     	HISSAR
HOSIN     	HOSHIARPUR
HSUIN     	HOSUR
