ADRIT     	ADRARA SAN MARTINO
AERIT     	AEROPORTO MALPENSA
ALAIT     	ALATRI
ITALL     	ALBENGA
ALBIT     	ALBINO
ALEIT     	ALESSANDRIA
ITAHO     	ALGHERO
ALTIT     	ALTAMURA
ANAIT     	ANAGNI
ITAOI     	ANCONA
ANGIT     	ANGELI DI ROSORA
ANZIT     	ANZOLA DELL EMILIA
APPIT     	APPIANO GENTILE
ARCIT     	ARCUGNANO
ARZIT     	ARZIGNANO
ITAVB     	AVIANO
AVGIT     	AVIGLIANA
AZEIT     	AZEGLIO
BALIT     	BALOCCO
BARIT     	BARANZATE
BRIIT     	BARI
ITBRI     	BARI
BAZIT     	BARZANO
BEDIT     	BEDIZZOLE
ITBLX     	BELLUNO
BNVIT     	BENEVENTO
BENIT     	BENTIVOGLIO
BGYIT     	BERGAMO
ITBGY     	BERGAMO
BIAIT     	BIANZE
BOLIT     	BOLLATE
BOOIT     	BOLOGNA
BOZIT     	BOLZANO
ITBZO     	BOLZANO
BOGIT     	BORGARO
BRGIT     	BORGOMANERO
BORIT     	BORGOSESIA
BFGIT     	BOSCOFANGONE
BOSIT     	BOSISIO PARINI
BOVIT     	BOVEZZO
ITZBN     	BOZEN
BRAIT     	BRANDICO
BREIT     	BRESCIA
ITVBS     	BRESCIA
ITBDS     	BRINDISI
BRVIT     	BRISSAGO-VALTRAVAGLIA
BROIT     	BRUINO
BRUIT     	BRUNECK
BURIT     	BURIASCO
BUSIT     	BUSTO ARSIZIO
CADIT     	CADONEGHE
ITCAG     	CAGLIARI
CALIT     	CALENZANO
CPDIT     	CAMPODARSEGO
CAMIT     	CAMPODORO
CAAIT     	CARATE BRIANZA
CARIT     	CARBONATE
CPEIT     	CARONNO PERTUSELLA 
CASIT     	CASALVIERI
CTLIT     	CASCIANA TERME LARI 
CSTIT     	CASTANO PRIMO
CSFIT     	CASTELFIDARDO
CLMIT     	CASTELLAMONTE
ITCTA     	CATANIA
CAVIT     	CAVARIA
