JPAGJ     	AGUNI
AICJP     	AICHI
AKAJP     	AKASHI
JPAXT     	AKITA
AMAJP     	AMAGASAKI
JPASJ     	AMAMI O SHIMA
JPAOJ     	AOMORI
ASAJP     	ASAHIKAWA
ASKJP     	ASAKA
AKTJP     	ASAKITA-KU
ATSJP     	ATSUGI
AYAJP     	AYASE
JPBPU     	BEPPU
BIZJP     	BIZEN
CHBJP     	CHIBA
CHCJP     	CHICHIBU
CHKJP     	CHIKUJO
CHIJP     	CHIYODAKU
CHSJP     	CHOSEI
CHOJP     	CHOU-KU
CHUJP     	CHUO KU
DATJP     	DATE
ECHJP     	ECHI
EDOJP     	EDOGAWA
FUCJP     	FUCHU
FUJJP     	FUJI CITY
FJWJP     	FUJISAWA
JPFUJ     	FUKUE
JPFKJ     	FUKUI
FKUJP     	FUKUI-SHI
FUUJP     	FUKUOKA
JPFUK     	FUKUOKA
FKIJP     	FUKUROI
FUKJP     	FUKUSHIMA-SHI
FURJP     	FURUKAWA
GIFJP     	GIFU
GUMJP     	GUMMA
GUNJP     	GUN
GNMJP     	GUNMA 
JPHAC     	HACHIJO JIMA
JPHHE     	HACHINOHE
HAGJP     	HAGA
HAKJP     	HAKODATE
JPHKD     	HAKODATE
HAMJP     	HAMAMATSU
JPHNA     	HANAMAKI
HASJP     	HASAMA CHO
JPHTR     	HATERUMA
HIGJP     	HIGASHIHIROSHIMA
HIMJP     	HIMEJI
HINJP     	HINO-SHI
HRKJP     	HIRAKATA
HIRJP     	HIROSHIMA
JPHIJ     	HIROSHIMA
JPHIW     	HIROSHIMA
HITJP     	HITACHI
HTKJP     	HITACHINAKA
HOKJP     	HOKKAIDO
HYOJP     	HYOGO
IBAJP     	IBARAKI
JPIEJ     	IEJIMA
JPIKI     	IKI
IRUJP     	IRUMA-GUN
ISEJP     	ISE
ISRJP     	ISEHARA
IESJP     	ISESAKI
JPISG     	ISHIGAKI
ISHJP     	ISHIKAWA
ITAJP     	ITAKO
JPIWJ     	IWAMI
JPIWO     	IWO JIMA VOL
JPIZO     	IZUMO
KADJP     	KADOMA
JPKOJ     	KAGOSHIMA
KANJP     	KANAGAWA
KNAJP     	KANAGAWA
KNIJP     	KANI
KARJP     	KARIYA
KASJP     	KASHIWARA SHI OSAKA
KSWJP     	KASHIWAZAKI
KAWJP     	KAWACHI-GUN
KWAJP     	KAWAGUCHI
KAAJP     	KAWASAKI
JPKKX     	KIKAIGA SHIMA
KIKJP     	KIKUCHI-GUN 
KKGJP     	KIKUGAWA
KITJP     	KITA
JPKKJ     	KITA KYUSHU
JPKTD     	KITADAITO
KBRJP     	KITAIBARAKI
JPUKB     	KOBE
KOBJP     	KOBE
JPKCZ     	KOCHI
KOHJP     	KOHOKU
KOKJP     	KOKA
KOMJP     	KOMAKI
JPKMQ     	KOMATSU
KORJP     	KORI
KOTJP     	KOTO-KU
JPKMJ     	KUMAMOTO
KMMJP     	KUMAMOTO
JPUEO     	KUMEJIMA
KUNJP     	KUNITACHI-SHI
KURJP     	KUROISHI-SHI
JPKUJ     	KUSHIMOTO
JPKUH     	KUSHIRO
JPUKY     	KYOTO
KYOJP     	KYOTO
MACJP     	MACHIDA
MAEJP     	MAEBASHI
MAGJP     	MAGOYA
MAKJP     	MAKINOHARA SHIZOUKA
MANJP     	MANKINOH
JPMUS     	MARCUS ISLAND
MATJP     	MATSUDO CITY
JPMMJ     	MATSUMOTO
MAUJP     	MATSUMOTO
MASJP     	MATSUURA
JPMYJ     	MATSUYAMA
JPMMB     	MEMANBETSU
MISJP     	MIDORI-SHI
MIEJP     	MIE
MIAJP     	MINAMI
MNAJP     	MINAMI ALPS
JPMMD     	MINAMI DAITO
MNMJP     	MINAMITSURU
MINJP     	MINATO CHUO-KU
JPMSJ     	MISAWA
MSAJP     	MISAWA
MITJP     	MITAKA
MIYJP     	MIYAGI
JPMYE     	MIYAKE JIMA
JPMMY     	MIYAKO JIMA
JPKMI     	MIYAZAKI
MOBJP     	MOBARA
JPMBE     	MONBETSU
NABJP     	NABARI
NAAJP     	NAGASAKI
JPNKM     	NAGOYA
NAGJP     	NAGOYA
JPSHB     	NAKASHIBETSU
NARJP     	NARITA
NIIJP     	NIIGATA
JPIHA     	NIIHAMA
JPIIN     	NISHINOOMOTE
NOGJP     	NOGYA
JPOBO     	OBIHIRO
OBUJP     	OBU AICHI
JPONJ     	ODATE NOSHIRO
OGAJP     	OGACHI
JPOIT     	OITA
JPOKJ     	OKAYAMA
OKAJP     	OKAYAMA
OKZJP     	OKAZAKI
JPOKI     	OKI ISLAND
JPAHA     	OKINAWA
JPDNA     	OKINAWA
JPOKA     	OKINAWA
OKIJP     	OKINAWA
JPOKE     	OKINO ERABU
JPOIR     	OKUSHIRI
OMEJP     	OME
JPOMJ     	OMURA
JPITM     	OSAKA
JPKIX     	OSAKA
OSAJP     	OSAKA
JPOIM     	OSHIMA
OSKJP     	OSK-CITY
OTAJP     	OTA
OURJP     	OURA-GUN
OYAJP     	OYAMA
JPXZJ     	RAIL
JPRBJ     	REBUN
JPRIS     	RISHIRI
JPSDO     	RYOTSU SADO IS
SABJP     	SABA
JPSDS     	SADO SHIMA
JPHSG     	SAGA
SAGJP     	SAGAMIHARA-SHI
SAHJP     	SAIHAKU GU
SAIJP     	SAITAMA
SANJP     	SANO
JPCTS     	SAPPORO
JPOKD     	SAPPORO
JPSDJ     	SENDAI
SENJP     	SENDAI
SNNJP     	SENNAN
STGJP     	SETAGAYA
SETJP     	SETTSU
SHBJP     	SHIBAMAKI
SHYJP     	SHIBUYA
SHGJP     	SHIGA
SHMJP     	SHIMADA
JPSHI     	SHIMOJISHIMA
SGWJP     	SHINAGAWA
JPSHM     	SHIRAHAMA
SHIJP     	SHIZUOKA
JPSYO     	SHONAI
TACJP     	TACHIKAWA
TAIJP     	TAITO CITY
TAKJP     	TAKAHASHI-SHI
JPTAK     	TAKAMATSU
TAMJP     	TAMAGATA
JPTNE     	TANEGASHIMA
JPTRA     	TARAMAJIMA
TOCJP     	TOCHIGI
JPNGO     	TOKONAME
TYOJP     	TOKOYO
JPTKN     	TOKUNOSHIMA
JPTKS     	TOKUSHIMA
JPHND     	TOKYO
JPN       	TOKYO
JPNRT     	TOKYO
JPOKO     	TOKYO
TOKJP     	TOKYO
JPTTJ     	TOTTORI
TTTJP     	TOTTORI
JPTOY     	TOYAMA
TOYJP     	TOYODA
JPTJH     	TOYOOKA
TOTJP     	TOYOTA
TSKJP     	TSUKINOKAWA
TKBJP     	TSUKUBA
TSUJP     	TSUKUBAMIRAI
JPTSJ     	TSUSHIMA
JPUBJ     	UBE
UTSJP     	UTSUNOMIYA
JPNTQ     	WAJIMA
JPWKJ     	WAKKANAI
JPKUM     	YAKUSHIMA
KUMJP     	YAKUSHIMA
JPGAJ     	YAMAGATA
YAMJP     	YAMAGATA
YMAJP     	YAMAGUCHI
YNIJP     	YAMANASHI
YAAJP     	YAMATO
YAOJP     	YAO CITY OS
YKKJP     	YOKKAICHI
JPYOK     	YOKOHAMA
YOKJP     	YOKOHAMA
YOSJP     	YOKOSUKA
YKTJP     	YOKOTE 
JPYGJ     	YONAGO
JPOGN     	YONAGUNI JIMA
JPRNJ     	YORONJIMA
ZUSJP     	ZUSHI
