ANDKR     	ANDONG
ANSKR     	ANSAN
ANEKR     	ANSEONG
ANYKR     	ANYANG
ASNKR     	ASAN-MYEON
ASAKR     	ASAN-SI
BORKR     	BORYEONG
BUCKR     	BUCHEON
BUKKR     	BUK-GU 
BUNKR     	BUNDANG-GU, SEONGNAM-SI
BUPKR     	BUPYEONG
BUSKR     	BUSAN
KRPUS     	BUSAN
BYEKR     	BYEORYANG-DONG
CHOKR     	CH
CAAKR     	CHAAM-DONG
CANKR     	CHANGNYEONG
CHAKR     	CHANGWON
CNNKR     	CHEONAN
CHJKR     	CHEONGJU
KRCJJ     	CHEONGJU
CHEKR     	CHEON-SI
CCHKR     	CHUNCHEON
CHBKR     	CHUNGBUK
CHUKR     	CHUNGCHEONG
CNHKR     	CHUNGCHEONGNAM
CHGKR     	CHUNGHWA-MYEON
CGIKR     	CHUNGIU
CHNKR     	CHUNG-NAM
CUNKR     	CHUNGWON
DAEKR     	DAEGU
KRTAE     	DAEGU
DEJKR     	DAEJEON
DAJKR     	DAJEON
DASKR     	DALSEO
DLSKR     	DALSEONG
DALKR     	DALSUNG-GUN
DANKR     	DANGJIN
DNGKR     	DONG
DONKR     	DONGAN-GU
EUMKR     	EUMSEONG-GUN
GAGKR     	GANGHWA
KRKAG     	GANGNEUNG
GANKR     	GANGSEO-GU
GAYKR     	GAYA-EUP 
KRJGE     	GEOJE
GEOKR     	GEONGGI DO
GEUKR     	GEUMCHEON
GMJKR     	GEUMJEONG
GHIKR     	GHIRODA
GCHKR     	GIMCHEON
GIHKR     	GIMHAE
GIMKR     	GIMPO
GOYKR     	GOYANG
GUMKR     	GUMI
GUNKR     	GUNSAN
KRKUV     	GUNSAN
GWCKR     	GWACHEON-SI
GWNKR     	GWANCHOEL-DONG
GWAKR     	GWANGJU
GNGKR     	GWANGTAN
GYKKR     	GYEONGBUK
GYEKR     	GYEONG-DONG
GYOKR     	GYEONGGI-DO
GYNKR     	GYEONGIU
GGNKR     	GYEONGSAN
GGBKR     	GYEONGSANGBUK-DO
GYUKR     	GYUNGGI DO
HEUKR     	HEUNGDEOK
HASKR     	HWASEING-SI
HWSKR     	HWASEONG
HWAKR     	HWASUNG
IKSKR     	IKSAN-SI
INCKR     	INCHEON
KRJCN     	INCHEON
JEJKR     	JEJU
KRCJU     	JEJU
KRJCJ     	JEJU
KRJSP     	JEJU
KRCHN     	JEONJU
JLYKR     	JILLYANG
JILKR     	JILLYE-MYEON
JINKR     	JINCHEON-GUN
JIHKR     	JINHAE
KRCHF     	JINHAE
KRHIN     	JINJU
JUNKR     	JUNG
JNGKR     	JUNGNANG
JGWKR     	JUNGWON-GU
KANKR     	KAN
KAGKR     	KANGNAM-GU
KAWKR     	KANGWON
KORKR     	KORYUNG-GUN
KYEKR     	KYENGGI-DO
KGMKR     	KYEONGNAM
KONKR     	KYONGSANBUK
KYOKR     	KYOUNGKI-DO
KYNKR     	KYUNGBUK
KYUKR     	KYUNGGI-DO
KWANG     	KYUNG-NAM
MAPKR     	MAPO
KRMPK     	MOKPO
NAMKR     	NAMDONG
NOWKR     	NOWON
OSAKR     	OSAN
OSEKR     	OSEONG
PAJKR     	PAJU
PALKR     	PALTAN MYEON
POHKR     	POHANG
PUSKR     	PUSAN
PYEKR     	PYEONGTAEK
PYIKR     	PYIW THEK
PYOKR     	PYONGTAEK
PYUKR     	PYUNSTAEK-SI
SACKR     	SACHEON-SI
KRSUK     	SAMCHEOK
SANKR     	SANGHAI CITY
SOEKR     	SEO
SEBKR     	SEOBUK
SECKR     	SEOCHO
SENKR     	SEONGHWAN-EUP
SEGKR     	SEONGJU
SNGKR     	SEONGNAM-SI
SGSKR     	SEONGSAN
HYEOP     	SEOUL
KRGMP     	SEOUL
KRICN     	SEOUL
SEOKR     	SEOUL
SONG      	SEOUL
SHIKR     	SHIHEUNG-SHI
SHHKR     	SHIHUNG
SIHKR     	SIHEUNG CITY
SIEKR     	SIHEUNG-SI
KRSHO     	SOKCHO
SONKR     	SONGPA KU
SOUKR     	SOUL
KRSYS     	SUNCHEON
SUNKR     	SUNGNAM CITY
SWNKR     	SUWON
ULJKR     	ULJU-GUN
KRUSN     	ULSAN
ULSKR     	ULSAN
KRWJU     	WONJU
WJUKR     	WONJU-SI
YAGKR     	YANGCHON
YANKR     	YANGSAN
KRYNY     	YANGYANG
YGMKR     	YEONGAM
YEOKR     	YEONGCHEON CITY
YNGKR     	YEONGDEUNGPO
YGTKR     	YEONGTONG-GU
YONKR     	YONGIN
