PTHOR     	ABASOLO
PTSMA     	ACOLMAN
ALCPT     	ALCANENA
ARCPT     	ARCOS DE VALDEVEZ
AVEPT     	AVEIRO
PTBGZ     	BRAGA
PTBGC     	BRAGANCA
CASPT     	CASCAIS
CABPT     	CASTELO BRAN
CHAPT     	CHAVES
PTCBP     	COIMBRA
PTCVU     	CORVO ISLAND
CBRPT     	COSTELO BRANCO
PTCOV     	COVILHA
PTFAO     	FARO
PTZYF     	FARO
FIGPT     	FIGUEIRA DA FOZ
PTFLW     	FLORES ISLAND
PTFNC     	FUNCHAL
GAFPT     	GAFANHA DA ENCARNACAO
PTGRW     	GRACIOSA ISLAND
GUAPT     	GUARDIZELA
GUIPT     	GUIMARAES
ILHPT     	ILHAVO
JESPT     	JESUS GOMEZ
LISPT     	LISBON
PTLIS     	LISBON
PTZYD     	LISBON
MACPT     	MACIEIRA DE CAMBRA
MAIPT     	MAIA
MARPT     	MARINHA GRANDE
MINPT     	MINDELO
OLIPT     	OLIVERIA DE AZEMEIS
OPOPT     	OPORTO
OVAPT     	OVAR
PALPT     	PALMELA
PFAPT     	PERAFITA
PTPIX     	PICO ISLAND
PTPDL     	PONTA DELGADA, AZOR
PTPRM     	PORTIMAO
PORPT     	PORTO
PTPXO     	PORTO SANTO
PRIPT     	PRIOR VELHO
QUIPT     	QUINTA DO ANJO
ROQPT     	ROQUE
RUAPT     	RUA DE PARDELHAS
SAMPT     	SAMORA CORREIA
SANPT     	SANTA MARIA de FEIRA
SAOPT     	SAO JOAO DA MADERIA
PTSJZ     	SAO JORGE ISLAND
PTSIE     	SINES
PTTER     	TERCEIRA ISLAND
VDCPT     	VALE DE CAMBRA
VALPT     	VALE DE SAO COSME
VILPT     	VILA NOVA DE FAMALICAO
PTVRL     	VILA REAL
PTVSE     	VISEU
YSP     	YAZAKI PORTUGAL
