ALKNL     	ALKMAAR
ALMNL     	ALMELO
AMSNL     	AMSTERDAM
BARNL     	BARENDRECHT
BINNL     	BINASCO
BORNL     	BORN
BOXNL     	BOXTEL
BRENL     	BREDA
BUSNL     	BUSSUM
BZMNL     	BERGEN OP ZOOM
CAYNF     	CORNER BROOK
DENNL     	DEN HAAG
DHRNL     	DEN HELDER
DRENL     	DRENEN
EHV     	Eindho
EINNL     	EINDHOVEN
ELSNL     	ELST
ENSNL     	ENSCHEDE
GELNL     	GELDERMALSEN
GRONL     	GRONINGEN
HAGNL     	THE HAGUE
HEINL     	HEINENOORD
HENNL     	HENGELO
HOGNL     	HOOGELOON
HOONL     	HOOFDDORP
KAANL     	KAAPSTANDERWEG
KERNL     	KERKRADE
LEENL     	LEEUWARDEN
LEINL     	LEIDEN
LELNL     	LELYSTAD
LIMNL     	LIMMEN
LOSMX     	LOS ALDAMAS
LOTNL     	LOTTUM
LUXNL     	LUXEMBOURG
MAANL     	MAASTRICHT
MASNL     	MAASDIJK
MIJNL     	MIJDRECHT
NIJNL     	NIJMEGEN
OLDNL     	OLDENZAAL
OUDNL     	OUDE MEER
ROONL     	ROOSENDAAL
ROTNL     	ROTTERDAM
RUUNL     	RUURLO
SASNL     	SASSENHEIM
SHINL     	SCHIEDAM
SITNL     	SITTARD
SNENL     	SNEEK
SOMNL     	SOMEREN
STENL     	STEENWIJK
TBGNL     	TILBURG
UDENL     	UDEN
UTRNL     	UTRECHT
VENNL     	VENNEP
VLANL     	VLAARDINGEN
VNLNL     	VENLO
WAANL     	WAALWIJK
WINNL     	WINSCHOTEN
WOENL     	WOENSDRECHT
ZEENL     	ZEWOLDE
ZEVNL     	ZEVENAAR
ZWONL     	ZWOLLE
