AMPTH     	AMPHUR PLUAKDEANG
AYUTH     	AYUTTHAYA
THBAO     	BAN MAK KHAEN
BALTH     	BANG LEN
BGKTH     	BANGKAPI
BANTH     	BANGKOK
THBKK     	BANGKOK
THDMK     	BANGKOK
THBFV     	BURI RAM
CHATH     	CHACHOENGSAO
THCNX     	CHIANG MAI
THCEI     	CHIANG RAI
CHOTH     	CHONBURI
THCJM     	CHUMPHON
THHDY     	HAT YAI
THHHQ     	HUA HIN
HUATH     	HUAI KHWANG
THKDT     	KAMPHANGSAEN
KHLTH     	KHLONG LUANG
THKKC     	KHON KAEN
KOATH     	KOACHAN CHONDURI
THUSM     	KOH SAMUI
THKBV     	KRABI
KUATH     	KUAKAENG RAYONA
LAETH     	LAEM CHABANG
THLPT     	LAMPANG
THLOE     	LOEI
THKKM     	LOP BURI
THHGN     	MAE HONG SON
THMAQ     	MAE SOT
THKOP     	NAKHON PHANOM
NKHTH     	NAKHON RATCHASIMA
THNAK     	NAKHON RATCHASIMA
THNST     	NAKHON SI THAMMARAT
NAKTH     	NAKORNPRATHOM
THNNT     	NAN
THNAW     	NARATHIWAT
NONTH     	NONTHABURI
PATTH     	PATHUM THANI
THPBS     	PATONG BEACH
THPAN     	PATTANI
THPYX     	PATTAYA
THPMM     	PHANOM SARAKHAM
THPHY     	PHETCHABUN
THPHZ     	PHI PHI ISLAND
THPHS     	PHITSANULOK
THPRH     	PHRAE
PHRTH     	PHRANAKHON-SRI-AYUTHAYA
THHKT     	PHUKET
PLUTH     	PLUAKDAENG
PRATH     	PRACHINBURI
THUNN     	RANONG
RATTH     	RATCHABURI
RAYTH     	RAYONG
THROI     	ROI ET
THSNO     	SAKON NAKHON
SAMTH     	SAMUT PRAKAN
THSGZ     	SONGKHLA
SUATH     	SUAN LUANG
THTHS     	SUKHOTHAI
THURT     	SURAT THANI
THPXR     	SURIN
THTKT     	TAK
THTKH     	TAKHLI
TAMTH     	TAMBOL TASIT
TAPB      	THAI ARROW PRODUCTS
TAPC      	THAI ARROW PRODUCTS
TAPP      	THAI ARROW PRODUCTS
THTST     	TRANG
THTDX     	TRAT
THUBP     	UBON RATCHATHNI
THUTH     	UDON THANI
THUTP     	UTAPAO
THUTR     	UTTARADIT
