AERZA     	AEROTON
ZAAGZ     	AGGENEYS
ZAALJ     	ALEXANDER BAY
ZAADY     	ALLDAYS
ARCZA     	ARCADIA
ZAHBL     	BABELEGI
BEDZA     	BEDFORDVIEW
ZABIY     	BISHO
BOKZA     	BOKSBURG
ZAUTE     	BUTTERWORTH
CAPZA     	CAPE TOWN
ZACPT     	CAPE TOWN
ZAHIC     	COENEO
ZAHPR     	COENEO
ZAPRY     	COENEO
ZACDO     	CRADOCK
CROZA     	CROWN MINES
DIEZA     	DIEP RIVER
ZADUK     	DUKUDUK
DURZA     	DURBAN
ZADUR     	DURBAN
ZAVIR     	DURBAN
ELOZA     	EAST LONDON
ZAELS     	EAST LONDON
ELAZA     	ELANDSFONTEIN
ZAELL     	ELLISRAS
ZAEMG     	EMPANGENI
EPPZA     	EPPINDUST
ESTZA     	ESTCOURT
ZAFCB     	FICKSBURG
GAUZA     	GAUTENG
ZAGRJ     	GEORGE
GERZA     	GERMISTON
GUAZA     	GUATEN
ZAHRS     	HARRISMITH
ZAHZV     	HAZYVIEW
ZAHLW     	HLUHLUWE
ZAHDS     	HOEDSPRUIT
ZAINY     	INYATI
ISAZA     	ISANDO
JOHZA     	JOHANNESBURG
ZAGCJ     	JOHANNESBURG
ZAHCS     	JOHANNESBURG
ZAJNB     	JOHANNESBURG
ZAQRA     	JOHANNESBURG
KEMZA     	KEMPTON PARK
KEWZA     	KEW
ZAKHO     	KHOKA MOYA
ZAKIM     	KIMBERLEY
ZAKLZ     	KLEINZEE
ZAKXE     	KLERKSDORP
ZAKIG     	KOINGHAAS
ZAKOF     	KOMATIPOORT
ZAKMH     	KURUMAN
ZALAY     	LADYSMITH
ZAHLA     	LANSERIA
ZALMR     	LIME ACRES
ZALDZ     	LONDOLOZI
ZALCD     	LOUIS TRICHARDT
ZALUJ     	LUSIKISIKI
ZAAAM     	MALA MALA
ZALLE     	MALELANE
ZAMGH     	MARGATE
MEAZA     	MEADOWDALE
ZAMEZ     	MESSINA
ZAROD     	MEXICALI
MIDZA     	MIDRAND
ZAMBM     	MKAMBATI
ZAMZQ     	MKUZE
ZAMBD     	MMABATHO
ZAMZY     	MOSSEL BAY
ZAMZF     	MZAMBA
ZAMQP     	NELSPRUIT
ZANLP     	NELSPRUIT
ZANCS     	NEWCASTLE
ZANGL     	NGALA
NORZA     	NORTHRIDING
ZAOUH     	OUDTSHOORN
ZAOVG     	OVERBERG
PARZA     	PAROW
ZAPHW     	PHALABORWA
ZAPZL     	PHINDA
PIEZA     	PIETERMARITZBURG
ZAPZB     	PIETERMARITZBURG
PINZA     	PINETOWN
ZAPBZ     	PLETTENBERG BAY
ZAPTG     	POLOKWANE
ZAAFD     	PORT ALFRED
POLZA     	PORT ELIZABETH
ZAPLZ     	PORT ELIZABETH
ZAJOH     	PORT SAINT JOHNS
ZAPRK     	PRIESKA
ZAUTW     	QUEENSTOWN
ZARVO     	REIVILO
RICZA     	RICHARDS BAY
ZARCB     	RICHARDS BAY
ZAGSS     	SABI SABI
ZASDB     	SALDANHA BAY
SANZA     	SANDOWN
ZAZEC     	SECUNDA
ZASIS     	SISHEN
ZASZK     	SKUKUZA
HALZA     	SOUTH AFRICA
ZASBU     	SPRINGBOK
SPRZA     	SPRINGS GAUPE
STAZA     	STANGER
ZANTY     	SUN CITY
ZATDT     	TANDA TULA
ZATCU     	THABA NCHU
ZATHY     	THOHOYANDOU
ZATSD     	TSHIPISE
ZALTA     	TZANEEN
ZAULD     	ULUNDI
ZAULX     	ULUSABA
ZAUTT     	UMTATA
ZAUTN     	UPINGTON
ZAVRE     	VREDENDAL
ZAVRU     	VRYBURG
ZAVYD     	VRYHEID
WADZA     	WADEVILLE
ZAWKF     	WATERKLOOF
ZAWEL     	WELKOM
