NVICZ|ALBRECHTICE NAD VITAVOU
BAKCZ|BAKOV NAD JIZEROU
BOHCZ|BOHUMIN
BRACZ|BRANKOVICE
BRNCZ|BRNO
CECCZ|CECHTICE
CEJCZ|CEJC
CEPCZ|CEPERKA
CESCZ|CESKA LIPA
CHOCZ|CHOMUTOV
DBACZ|DOBRA
DOBCZ|DOBRIS
DOLCZ|DOLNI REDICE
ELECZ|ELETAVA
FRECZ|FRENSTAT POD RADHOSTEM
HAVCZ|HAVIROV
HODCZ|HODONIN
HORCZ|HORKA
HRACZ|HRADEC KRALOVE
HNECZ|HRANICE
HRUCZ|HRUSOVANY U BRNA
JABCZ|JABLONEC NAD NISOU
JCNCZ|JICIN
JIHCZ|JIHLAVA
KARCZ|KARVINA
KROCZ|KROMERIZ
KURCZ|KURIM
LAZCZ|LAZNE BOHDANEC
LITCZ|LITOMYSL
LOVCZ|LOVOSICE
LUTCZ|LUTIN
LYSCZ|LYSA NAD LABEM
CZMKA|MARIANSKE LAZNE
MELCZ|MELNIK
MLACZ|MLADA BOLESLAV
MODCZ|MODRICE
MOHCZ|MOHELNICE
NADCZ|NAD LABEM
NEJCZ|NEJDEK
NOVCZ|NOVY JICIN
ODOCZ|ODOLENA VODA
ORECZ|OREBEM
OSLCZ|OSLAVANY
OTRCZ|OSTRAVA
OSTCZ|OSTROMER
PARCZ|PARDUBICE
PILCZ|PILSEN
PISCZ|PISEK
PLACZ|PLAZY
PLZCZ|PLZEN
PODCZ|PODBORANY
POLCZ|POLICKA
CZPRG|PRAGUE
PRACZ|PRAGUE
CZPRV|PREROV
RADCZ|RAD
RAKCZ|RAKOVNIK
ROZCZ|ROZNOV POD RADHOSTEM
RYCCZ|RYCHVALD
SASCZ|SASOVICE
SENCZ|SENOV U NAVEHO JICINA
STCCZ|STARE CIVICE
STACZ|STARE MESTO
STECZ|STENOVICE
STOCZ|STOD
STRCZ|STRAZ NAD NISOU
TACCZ|TACHOV
TERCZ|TERLICKO
TRECZ|TREBIC
CZUHE|UHERSKE HRADISTE
UJECZ|UJEZD U BRNA
VALCZ|VALASSKE MEZIRICI
VELCZ|VELEMYSLEVES
VRACZ|VRATIMOV
VSECZ|VSETIN
VYSCZ|VYSKOV
CZZBE|ZABREH
ZATCZ|ZATEC
ZDACZ|ZDAR NAD SAZAVOU
ZELCZ|ZELETAVA
ZIRCZ|ZIROVNICE
ZLICZ|ZLIN
