CENHK     	CENTRAL HONG KONG
HKZJK     	CHEK LAP KOK
CHEHK     	CHEUNG SHA WAN 
FANHK     	FANLING
HONHK     	HONG KONG
KOWHK     	KOWLOON
KWAHK     	KWAI CHUNG
HKKTZ     	KWUN TONG
KTGHK     	KWUN TONG
LANHK     	LANTAU ISLAND
MONHK     	MONGKOK
NEWHK     	NEW TERRITORIES
NORHK     	NORTH POINT
SAPHK     	SAN PO KONG
SANHK     	SAN TIN
SHAHK     	SHA TIN 
HKQDM     	SHEK MUM
SHEHK     	SHEUNG SHUI
THAHK     	TAI HANG
TPOHK     	TAI PO 
TAIHK     	TAIKOS TSUI
TSTHK     	TSIM SHA TSUI
TSUHK     	TSUEN WAN
TUEHK     	TUEN MUM
TUMHK     	TUEN MUN 
WANHK     	WANCHAI
YANHK     	YAN CHAU TONG
YAUHK     	YAU MA TEI
YHK       	YAZAKI HONG KONG
YUEHK     	YUEN LONG
