ABRRO     	ABRUD
ARARO     	ARAD
ROARW     	ARAD
ROBCM     	BACAU
ROBAY     	BAIA MARE
BRARO     	BRASOV
BBURO     	BUCHAREST
ROOTP     	BUCHAREST
ROCSB     	CARANSEBES
CHIRO     	CHIRILEU
CLURO     	CLUJ
ROCLJ     	CLUJ-NAPOCA
ROCND     	CONSTANTA
ROCRA     	CRAIOVA
CURRO     	CURTICI
DEVRO     	DEVA
GIARO     	GIARMATA
HARRO     	HARGHITA
HUNRO     	HUNEDOARA
ROIAS     	IASI
ILFRO     	ILFOV
LUPRO     	LUPENI
ODORO     	ODORHEIU SECUIESC
ROOMR     	ORADEA
PRARO     	PRAHOVA
RABRO     	RABAGABI
RIBRO     	RIBITA
ROSUJ     	SATU MARE
ROSBZ     	SIBIU
SIBRO     	SIBIU
ROSCV     	SUCEAVA
TARRO     	TARGU MURES
TIMRO     	TIMISOARA
TIRRO     	TIRGOVISTE
ROTGM     	TIRGU MURES
ROTCE     	TULCEA
